landmark_id,landmark_name,address,image_path,file_name,areaId
44,K-Taekwonschool태권도체험,서울특별시 강동구 고덕로 96(암사동),K-Taekwonschool태권도체험_001_42779403.JPG,K-Taekwonschool태권도체험_001_42779403.JPG,17
45,KAC한국공항공사_본사,서울특별시 강서구 과해동 676,KAC한국공항공사_본사_001_42751217.jpg,KAC한국공항공사_본사_001_42751217.jpg,18
46,KAIST서울캠퍼스,서울특별시 동대문구 청량리동 207-42,KAIST서울캠퍼스_001_36321783.jpg,KAIST서울캠퍼스_001_36321783.jpg,19
47,KBS,서울특별시 영등포구 여의도동 18,KBS_001_41450561.jpg,KBS_001_41450561.jpg,7
48,KBS스포츠월드,서울특별시 강서구 화곡동 1093-76,양천고성지_001_38718042.JPG,양천고성지_001_38718042.JPG,18
49,KBS아레나,서울특별시 강서구 화곡동 1093-76,양천고성지_001_38717454.JPG,양천고성지_001_38717454.JPG,18
50,KBS온,서울특별시 영등포구 여의공원로 13,KBS_온_001_31384613.JPG,KBS_온_001_31384613.JPG,7
51,KCDF갤러리,서울특별시 종로구 관훈동 182-2,KCDF 갤러리_002_34729814.jpg,KCDF 갤러리_002_34729814.jpg,1
52,KC대학교,서울특별시 강서구 화곡동 1123-39,KC대학교_001_42673226.jpg,KC대학교_001_42673226.jpg,18
53,KOCCA콘텐츠문화광장,서울특별시 동대문구 청량리동 206-9,20개_KOCCA콘텐츠문화광장_001_41251435.jpg,20개_KOCCA콘텐츠문화광장_001_41251435.jpg,19
54,KT&G상상마당,서울특별시 마포구 어울마당로 65 상상마당빌딩,KT&G_상상마당_001_32016687.JPG,KT&G_상상마당_001_32016687.JPG,8
55,K현대미술관,서울특별시 강남구 신사동 666-7,K현대미술관_003_36940875.jpg,K현대미술관_003_36940875.jpg,9
56,LG사이언스홀,서울특별시 영등포구 여의대로 128,LG사이언스홀_001_39521286.jpg,LG사이언스홀_001_39521286.jpg,7
57,LG아트센터,서울특별시 강남구 논현로 508(역삼동),LG아트센터_001_40942642.jpg,LG아트센터_001_40942642.jpg,9
58,LG한강자이아파트,서울특별시 용산구 이촌로64길 15,LG한강자이아파트_001_0.jpg,LG한강자이아파트_001_0.jpg,13
59,MBCWORLD(견학홀),서울특별시 마포구 성암로 267(상암동),MBCWORLD_001_38566765.jpg,MBCWORLD_001_38566765.jpg,8
60,mbc아카데미원격평생교육원,서울특별시 종로구 창경궁로35길 35,mbc아카데미 원격평생교육원_001_36227756.jpg,mbc아카데미 원격평생교육원_001_36227756.jpg,1
61,M컨템포러리,서울특별시 강남구 역삼동 602 1F,M컨템포러리(강남구)_001_34582769.jpg,M컨템포러리(강남구)_001_34582769.jpg,9
62,N서울타워,서울특별시 용산구 남산공원길 105,N_서울타워_001_33370207.JPG,N_서울타워_001_33370207.JPG,13
63,PLAYONEPIECE,서울특별시 마포구 와우산로 101,Play One Piece in Hongdae_001_34771272.jpg,Play One Piece in Hongdae_001_34771272.jpg,8
64,PMF자양스테이션,서울특별시 광진구 자양동 630-41,PMF자양스테이션_003_39807333.jpg,PMF자양스테이션_003_39807333.jpg,2
65,SH아트홀,서울특별시 종로구 동숭동 1-131,SH아트홀_001_34730166.jpg,SH아트홀_001_34730166.jpg,1
66,SNKRS,서울특별시 마포구 와우산로 78,홍대SNKRS_001_34814815.jpg,홍대SNKRS_001_34814815.jpg,8
67,SPA1899동인비,서울특별시 강남구 영동대로 416(대치동),SPA 1899 동인비_001_34583212.jpg,SPA 1899 동인비_001_34583212.jpg,9
68,tbs교통방송,서울특별시 마포구 매봉산로 31(상암동) S-PLEX CENTER,tbs교통방송_001_38580502.jpg,tbs교통방송_001_38580502.jpg,8
69,TheK호텔서울,서울특별시 서초구 양재동 202,The K hotel_002_34931978.jpg,The K hotel_002_34931978.jpg,10
70,UM갤러리,서울특별시 강남구 압구정로12길 25(신사동) 3층,UM갤러리_001_42033633.jpg,UM갤러리_001_42033633.jpg,9
71,W몰,서울특별시 금천구 디지털로 188,감로천생태공원_001_40950640.JPG,감로천생태공원_001_40950640.JPG,16
72,YTN,서울특별시 마포구 상암산로 76(상암동) YTN 뉴스퀘어,YTN_001_38579626.jpg,YTN_001_38579626.jpg,8
73, 답십리고미술상가,서울특별시 동대문구 답십리동 530-1,답십리 고미술상가_001_35142017.JPG,답십리 고미술상가_001_35142017.JPG,19
74,가든파이브,서울특별시 송파구 문정동 634,가든파이브_001_33832955.JPG,가든파이브_001_33832955.JPG,14
75,가락몰5관(씨푸드),서울특별시 송파구 양재대로 932,가락몰5관(씨푸드)_002_42459262.JPG,가락몰5관(씨푸드)_002_42459262.JPG,14
76,가락몰SAFF타워(업무동),서울특별시 송파구 양재대로 932,가락몰SAFF타워(업무동)_001_42459461.JPG,가락몰SAFF타워(업무동)_001_42459461.JPG,14
77,가락몰입구,서울특별시 송파구 가락동,가락몰입구_004_42459661.JPG,가락몰입구_004_42459661.JPG,14
78,가락삼익아파트,서울특별시 송파구 오금로32길 5,가락삼익아파트_001_0.jpg,가락삼익아파트_001_0.jpg,14
79,가락시장,서울특별시 송파구 가락동 600,가락시장_001_33257347.JPG,가락시장_001_33257347.JPG,14
80,가람어린이공원,서울특별시 은평구 불광동 448-11,가람어린이공원_001_0.jpg,가람어린이공원_001_0.jpg,12
81,가람화랑,서울특별시 종로구 관훈동 30-10,가람화랑_001_39728938.jpg,가람화랑_001_39728938.jpg,1
82,가로수길,서울특별시 강남구 신사동,가로수길_001_34011402.JPG,가로수길_001_34011402.JPG,9
